epoch,step,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_loss_epoch,train_loss_step,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_loss
0,49,,,,,,0.30635231733322144,,,,,
0,99,,,,,,0.20065270364284515,,,,,
0,149,,,,,,0.1944609433412552,,,,,
0,199,,,,,,0.16576972603797913,,,,,
0,249,,,,,,0.23964861035346985,,,,,
0,299,,,,,,0.19811898469924927,,,,,
0,349,,,,,,0.26848942041397095,,,,,
0,399,,,,,,0.18115532398223877,,,,,
0,449,,,,,,0.1369757354259491,,,,,
0,499,,,,,,0.21965695917606354,,,,,
0,549,,,,,,0.16975541412830353,,,,,
0,599,,,,,,0.19883035123348236,,,,,
0,649,,,,,,0.13062512874603271,,,,,
0,699,,,,,,0.18242770433425903,,,,,
0,749,,,,,,0.1975574791431427,,,,,
0,799,,,,,,0.16010817885398865,,,,,
0,849,,,,,,0.1572149693965912,,,,,
0,899,,,,,,0.19474004209041595,,,,,
0,949,,,,,,0.18814760446548462,,,,,
0,999,,,,,,0.1469125747680664,,,,,
0,1049,,,,,,0.1647804081439972,,,,,
0,1099,,,,,,0.17065179347991943,,,,,
0,1149,,,,,,0.2516818046569824,,,,,
0,1199,,,,,,0.1653270423412323,,,,,
0,1249,,,,,,0.1843993365764618,,,,,
0,1299,,,,,,0.20698080956935883,,,,,
0,1349,,,,,,0.12731803953647614,,,,,
0,1399,,,,,,0.1305784285068512,,,,,
0,1449,,,,,,0.16550400853157043,,,,,
0,1499,,,,,,0.17930477857589722,,,,,
0,1549,,,,,,0.14591330289840698,,,,,
0,1599,,,,,,0.2255900651216507,,,,,
0,1649,,,,,,0.15537860989570618,,,,,
0,1699,,,,,,0.14006567001342773,,,,,
0,1749,,,,,,0.1281287521123886,,,,,
0,1799,,,,,,0.16742542386054993,,,,,
0,1849,,,,,,0.1523733139038086,,,,,
0,1899,,,,,,0.1708521544933319,,,,,
0,1949,,,,,,0.19260433316230774,,,,,
0,1999,,,,,,0.149244487285614,,,,,
0,2049,,,,,,0.10183082520961761,,,,,
0,2099,,,,,,0.1855325996875763,,,,,
0,2149,,,,,,0.17478924989700317,,,,,
0,2199,,,,,,0.18253201246261597,,,,,
0,2249,,,,,,0.12126801908016205,,,,,
0,2299,,,,,,0.18666869401931763,,,,,
0,2349,,,,,,0.13232013583183289,,,,,
0,2399,,,,,,0.1094195693731308,,,,,
0,2449,,,,,,0.16457915306091309,,,,,
0,2499,,,,,,0.13642121851444244,,,,,
0,2549,,,,,,0.12692570686340332,,,,,
0,2599,,,,,,0.148039311170578,,,,,
0,2649,,,,,,0.15771037340164185,,,,,
0,2699,,,,,,0.10626859962940216,,,,,
0,2749,,,,,,0.19244660437107086,,,,,
0,2799,,,,,,0.12862521409988403,,,,,
0,2849,,,,,,0.1231887936592102,,,,,
0,2899,,,,,,0.17659558355808258,,,,,
0,2949,,,,,,0.1381019949913025,,,,,
0,2999,,,,,,0.16787725687026978,,,,,
0,3049,,,,,,0.09023886919021606,,,,,
0,3099,,,,,,0.13068437576293945,,,,,
0,3149,,,,,,0.10967855155467987,,,,,
0,3199,,,,,,0.17875555157661438,,,,,
0,3249,,,,,,0.10784342885017395,,,,,
0,3299,,,,,,0.1324770599603653,,,,,
0,3349,,,,,,0.15766999125480652,,,,,
0,3399,,,,,,0.08512749522924423,,,,,
