epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
0,49,,,0.2284860610961914,,,
0,99,,,0.1609732061624527,,,
0,149,,,0.2276332974433899,,,
0,199,,,0.1357240378856659,,,
0,249,,,0.17653678357601166,,,
0,299,,,0.1866205483675003,,,
0,349,,,0.15190525352954865,,,
0,399,,,0.2579796612262726,,,
0,449,,,0.13817162811756134,,,
0,499,,,0.13543687760829926,,,
0,549,,,0.2679203152656555,,,
0,599,,,0.16617639362812042,,,
0,649,,,0.14076188206672668,,,
0,699,,,0.1270567625761032,,,
0,749,,,0.15930481255054474,,,
0,799,,,0.15147912502288818,,,
0,849,,,0.27447304129600525,,,
0,899,,,0.07661788910627365,,,
0,949,,,0.1368519812822342,,,
0,999,,,0.20942485332489014,,,
0,1049,,,0.15666648745536804,,,
0,1099,,,0.2504599392414093,,,
0,1149,,,0.21293865144252777,,,
0,1199,,,0.23186556994915009,,,
0,1249,,,0.17579229176044464,,,
0,1299,,,0.09787124395370483,,,
0,1349,,,0.20035089552402496,,,
0,1399,,,0.16902679204940796,,,
0,1449,,,0.1389632523059845,,,
0,1499,,,0.10746030509471893,,,
0,1549,,,0.19792087376117706,,,
0,1599,,,0.1696353554725647,,,
0,1649,,,0.13298337161540985,,,
0,1699,,,0.11846069246530533,,,
0,1749,,,0.22742408514022827,,,
0,1799,,,0.13529027998447418,,,
0,1849,,,0.14505667984485626,,,
0,1899,,,0.24339477717876434,,,
0,1949,,,0.1083206906914711,,,
0,1999,,,0.12442187964916229,,,
0,2049,,,0.18879355490207672,,,
0,2099,,,0.20130957663059235,,,
0,2149,,,0.19159258902072906,,,
0,2199,,,0.4148695766925812,,,
0,2249,,,0.21401454508304596,,,
0,2299,,,0.12962087988853455,,,
0,2349,,,0.1220892146229744,,,
0,2399,,,0.158572256565094,,,
0,2449,,,0.07525184750556946,,,
0,2499,,,0.22305835783481598,,,
0,2549,,,0.17103344202041626,,,
0,2599,,,0.1592133343219757,,,
0,2649,,,0.2273930311203003,,,
0,2699,,,0.19019727408885956,,,
0,2749,,,0.20767077803611755,,,
0,2799,,,0.21824611723423004,,,
0,2849,,,0.21880801022052765,,,
0,2899,,,0.09626386314630508,,,
0,2949,,,0.14834362268447876,,,
0,2999,,,0.1650496870279312,,,
0,3049,,,0.329082190990448,,,
0,3099,,,0.20122916996479034,,,
0,3149,,,0.19124476611614227,,,
0,3199,,,0.17003360390663147,,,
0,3249,,,0.12556122243404388,,,
0,3299,,,0.11947928369045258,,,
0,3349,,,0.29104289412498474,,,
0,3399,,,0.17206798493862152,,,
0,3449,,,0.09624185413122177,,,
0,3499,,,0.13838525116443634,,,
