epoch,step,train_acc,train_loss_epoch,train_loss_step,val_neg_speaker_sim,val_pos_speaker_sim,val_proxy_loss
0,49,,,4.9034104347229,,,
0,99,,,4.653564453125,,,
0,149,,,4.517538070678711,,,
0,199,,,4.429343223571777,,,
0,249,,,4.343757152557373,,,
0,299,,,3.9581761360168457,,,
0,349,,,4.0930681228637695,,,
0,399,,,3.871695041656494,,,
0,449,,,3.8257250785827637,,,
0,499,,,3.396632671356201,,,
0,549,,,3.7308807373046875,,,
0,599,,,3.400200843811035,,,
0,649,,,3.4204609394073486,,,
0,699,,,3.02828311920166,,,
0,749,,,3.169447898864746,,,
0,799,,,3.2002944946289062,,,
0,849,,,3.407425880432129,,,
0,899,,,3.556386947631836,,,
0,949,,,3.474562644958496,,,
0,999,,,3.280651092529297,,,
0,1049,,,3.142296075820923,,,
0,1099,,,3.130122184753418,,,
0,1149,,,2.6643989086151123,,,
0,1199,,,2.726111888885498,,,
0,1249,,,3.007181167602539,,,
0,1299,,,3.1486196517944336,,,
0,1349,,,2.6369199752807617,,,
0,1399,,,2.4886295795440674,,,
0,1449,,,2.9399056434631348,,,
0,1499,,,2.508882999420166,,,
0,1549,,,2.3520851135253906,,,
0,1599,,,2.269252300262451,,,
0,1649,,,2.967271566390991,,,
0,1699,,,2.1067328453063965,,,
0,1749,,,2.60601806640625,,,
0,1799,,,2.439913034439087,,,
0,1849,,,2.2898881435394287,,,
0,1899,,,2.4400038719177246,,,
0,1949,,,1.9277194738388062,,,
0,1999,,,2.0765624046325684,,,
0,2049,,,2.1841700077056885,,,
0,2099,,,2.2616500854492188,,,
0,2149,,,2.3847293853759766,,,
0,2199,,,2.2551093101501465,,,
0,2249,,,1.9740219116210938,,,
0,2299,,,2.106353282928467,,,
0,2349,,,1.925678014755249,,,
0,2399,,,1.7340426445007324,,,
0,2449,,,1.712533950805664,,,
0,2499,,,1.745377540588379,,,
0,2549,,,2.0504648685455322,,,
0,2599,,,2.148900032043457,,,
0,2649,,,1.8456844091415405,,,
0,2699,,,1.704636573791504,,,
0,2749,,,2.056042194366455,,,
0,2799,,,1.333979845046997,,,
0,2849,,,1.3871276378631592,,,
0,2899,,,1.3481457233428955,,,
0,2949,,,1.6564419269561768,,,
0,2999,,,1.3159222602844238,,,
0,3049,,,1.4498167037963867,,,
0,3099,,,1.5644431114196777,,,
0,3149,,,1.6950504779815674,,,
0,3199,,,1.3619847297668457,,,
0,3249,,,1.1709738969802856,,,
0,3299,,,1.434279203414917,,,
0,3349,,,1.3270155191421509,,,
0,3399,,,1.7165515422821045,,,
0,3449,,,1.2842671871185303,,,
0,3499,,,1.4161298274993896,,,
0,3549,,,1.595238447189331,,,
0,3599,,,1.075792670249939,,,
0,3649,,,1.3891401290893555,,,
0,3699,,,1.2265669107437134,,,
0,3749,,,0.9516120553016663,,,
0,3799,,,1.5145349502563477,,,
0,3849,,,1.047654390335083,,,
0,3899,,,0.9055449962615967,,,
0,3949,,,0.7842081785202026,,,
0,3999,,,0.9824649095535278,,,
0,4049,,,1.1724457740783691,,,
0,4099,,,0.8464877009391785,,,
0,4149,,,1.2189173698425293,,,
0,4199,,,0.8163014054298401,,,
0,4249,,,1.0237743854522705,,,
0,4265,,,,0.3491462469100952,0.7151185870170593,0.6340276002883911
0,4265,0.4613434672355652,2.3024208545684814,,,,
1,4299,,,0.9819319844245911,,,
1,4349,,,1.0214345455169678,,,
1,4399,,,0.7955039739608765,,,
1,4449,,,0.983065664768219,,,
1,4499,,,1.4404423236846924,,,
1,4549,,,0.7545660138130188,,,
1,4599,,,0.8082839250564575,,,
1,4649,,,1.1672167778015137,,,
1,4699,,,0.7062609195709229,,,
1,4749,,,1.3071935176849365,,,
1,4799,,,0.6213691830635071,,,
1,4849,,,0.9475144743919373,,,
1,4899,,,0.5078757405281067,,,
1,4949,,,0.797265887260437,,,
1,4999,,,0.7337255477905273,,,
1,5049,,,0.661034345626831,,,
1,5099,,,0.8726822733879089,,,
1,5149,,,0.7923497557640076,,,
1,5199,,,0.5115580558776855,,,
1,5249,,,0.6936870813369751,,,
1,5299,,,0.7565657496452332,,,
1,5349,,,0.5209513306617737,,,
1,5399,,,0.5907526016235352,,,
1,5449,,,0.6940616369247437,,,
1,5499,,,0.6149294376373291,,,
1,5549,,,0.7022606730461121,,,
1,5599,,,0.572952389717102,,,
1,5649,,,0.5601869821548462,,,
1,5699,,,0.6038579940795898,,,
1,5749,,,0.4738277196884155,,,
1,5799,,,0.7044371366500854,,,
1,5849,,,0.4671913683414459,,,
1,5899,,,0.6071295142173767,,,
1,5949,,,1.0206904411315918,,,
1,5999,,,0.7903748750686646,,,
1,6049,,,0.5887024998664856,,,
1,6099,,,0.46738776564598083,,,
1,6149,,,1.1124491691589355,,,
1,6199,,,0.6049062609672546,,,
1,6249,,,0.6514484882354736,,,
1,6299,,,0.4247944951057434,,,
1,6349,,,0.6828824281692505,,,
1,6399,,,0.663332998752594,,,
1,6449,,,0.3981229066848755,,,
1,6499,,,0.5085898041725159,,,
1,6549,,,0.39985886216163635,,,
1,6599,,,0.5570652484893799,,,
1,6649,,,0.6430419683456421,,,
1,6699,,,0.6362428069114685,,,
1,6749,,,0.3878578543663025,,,
1,6799,,,0.598670482635498,,,
